run,seed,checkpoint_generation,recorded_generation,best_fitness,error,converged
8,8,5000,5000,6.561002911098512e-05,6.561002911098512e-05,False
8,8,10000,10000,1.774770993279162e-06,1.774770993279162e-06,False
8,8,50000,50000,1.694429840881639e-08,1.694429840881639e-08,False
8,8,100000,100000,1.694429840881639e-08,1.694429840881639e-08,False
9,9,1,1,110.1754747943973,110.1754747943973,False
9,9,50,50,7.911120044207465,7.911120044207465,False
9,9,100,100,6.037655835833135,6.037655835833135,False
9,9,200,200,3.16966474688931,3.16966474688931,False
9,9,500,500,0.9975879525110685,0.9975879525110685,False
9,9,1000,1000,0.0003364334054651863,0.0003364334054651863,False
9,9,5000,5000,2.235533868599759e-05,2.235533868599759e-05,False
9,9,10000,10000,1.092260504265141e-05,1.092260504265141e-05,False
9,9,50000,50000,7.323225759137131e-08,7.323225759137131e-08,False
9,9,100000,100000,4.463531411147414e-08,4.463531411147414e-08,False
10,10,1,1,122.7428335181949,122.7428335181949,False
10,10,50,50,22.15936775597397,22.15936775597397,False
10,10,100,100,9.370426909035913,9.370426909035913,False
10,10,200,200,3.992659897068094,3.992659897068094,False
10,10,500,500,0.002267136059359132,0.002267136059359132,False
10,10,1000,1000,0.0009215660003292214,0.0009215660003292214,False
10,10,5000,5000,0.00017040276063085,0.00017040276063085,False
10,10,10000,10000,5.124642783016498e-06,5.124642783016498e-06,False
10,10,50000,50000,9.523191124571895e-07,9.523191124571895e-07,False
10,10,100000,100000,1.043661086441716e-07,1.043661086441716e-07,False
11,11,1,1,113.3765680942783,113.3765680942783,False
11,11,50,50,28.33495304236165,28.33495304236165,False
11,11,100,100,17.17774044966556,17.17774044966556,False
11,11,200,200,7.280799274082355,7.280799274082355,False
11,11,500,500,0.9993544625614845,0.9993544625614845,False
11,11,1000,1000,0.001567678655732152,0.001567678655732152,False
11,11,5000,5000,1.316553741048665e-05,1.316553741048665e-05,False
11,11,10000,10000,2.469134088300962e-06,2.469134088300962e-06,False
11,11,50000,50000,5.943340397607244e-08,5.943340397607244e-08,False
11,11,100000,100000,3.195371789388446e-08,3.195371789388446e-08,False
12,12,1,1,94.57081462379527,94.57081462379527,False
12,12,50,50,16.79686263874046,16.79686263874046,False
12,12,100,100,12.04587365363577,12.04587365363577,False
12,12,200,200,6.218119890354899,6.218119890354899,False
12,12,500,500,0.05140057551362531,0.05140057551362531,False
12,12,1000,1000,0.01663203320353546,0.01663203320353546,False
12,12,5000,5000,4.090462286399088e-05,4.090462286399088e-05,False
12,12,10000,10000,2.559453974981807e-06,2.559453974981807e-06,False
12,12,50000,50000,4.904055117549433e-08,4.904055117549433e-08,False
12,12,100000,100000,4.15820267107847e-08,4.15820267107847e-08,False
13,13,1,1,82.93175880637264,82.93175880637264,False
13,13,50,50,13.16565450748757,13.16565450748757,False
13,13,100,100,10.12052507171003,10.12052507171003,False
13,13,200,200,1.549285796886068,1.549285796886068,False
13,13,500,500,0.01673812599203472,0.01673812599203472,False
