run,seed,best_fitness,error,generations,converged,best_individual
11,11,3.195371789388446e-08,3.195371789388446e-08,100000,False,"[5.75893139412316e-10, 1.0703933082480084e-05, -8.383240487588553e-08, -1.1010229486190082e-06, -1.4420827963626927e-06, -2.223727214287359e-07, 1.784700887956243e-06, -3.94160435461781e-06, -1.7917710387841608e-06, -4.605334516971375e-06]"
12,12,4.15820267107847e-08,4.15820267107847e-08,100000,False,"[3.2420724349890233e-09, 1.4608016581173114e-09, -3.688067182295762e-09, -2.245363282652878e-06, -2.2222231645268441e-10, 1.2104977023689418e-05, 2.389390432584417e-07, 4.344014584077561e-09, 4.7022148849416735e-06, -5.987913877202213e-06]"
13,13,2.574092690110774e-07,2.574092690110774e-07,100000,False,"[-1.3644710427074597e-06, 2.8065260569229375e-06, 2.3929807400589877e-07, -1.8071133906987914e-08, -2.340514897544776e-06, -5.014629613594009e-07, -9.700356735653433e-06, 5.855309469340597e-07, -3.273851589366274e-08, -3.446028461050442e-05]"
14,14,4.523862173755333e-08,4.523862173755333e-08,100000,False,"[-1.729621245120305e-07, 5.773569519265014e-06, -5.98488395845241e-09, -1.049133114928149e-05, -4.4739879152516514e-07, -5.145120449081124e-06, -1.972857371878713e-06, 7.265057580969895e-06, -1.117391510742634e-06, 7.917871476650854e-09]"
15,15,2.019328633195983e-07,2.019328633195983e-07,100000,False,"[2.4380371155014838e-05, -3.6527778000513894e-08, -1.3152613680252938e-09, -2.533015397590383e-06, 5.9534203557881844e-08, 7.689452083444322e-07, -6.902294604128303e-07, -2.039455786964375e-05, 2.517455069925518e-08, 1.32338219853208e-07]"
16,16,2.453896001952671e-07,2.453896001952671e-07,100000,False,"[5.212739712307527e-06, -1.863035174279856e-08, -5.833780602949929e-06, 4.0117472166773536e-09, 9.157702049324409e-09, 5.611646270546527e-07, 1.2377487763256974e-06, 5.833129039120496e-09, 3.423032847237933e-05, -1.4572780217317084e-06]"
17,17,1.752496245899238e-07,1.752496245899238e-07,100000,False,"[-1.217581386002821e-05, 6.194532061655992e-09, -2.1872268321711895e-05, -1.6011525746708836e-05, -1.8179382331900648e-09, 3.0306830029387755e-08, -4.127368197407454e-10, 5.768541491838679e-07, -2.505240984652275e-08, 4.810369835208293e-09]"
18,18,3.842512796836672e-08,3.842512796836672e-08,100000,False,"[-7.179854214468095e-07, 2.3267937285040545e-06, -2.0517454665650897e-06, -4.619693276516536e-09, -1.0104219176551054e-07, 3.1543387175878834e-07, 1.2673652358113342e-05, 5.384024867077038e-07, -4.7457866010850094e-06, 1.0484125037797475e-08]"
19,19,1.149984996118292e-08,1.149984996118292e-08,100000,False,"[-4.495190740665211e-07, 6.037476451821569e-09, 6.849167232949671e-07, -3.7256447918272445e-06, 8.508292546287825e-08, 8.72981504730248e-07, 4.2966743711329525e-08, 6.530115898787543e-06, 3.935090431103754e-09, 4.436034377136781e-11]"
20,20,9.600283590316394e-08,9.600283590316394e-08,100000,False,"[-5.618473230241546e-06, -7.178348913284635e-07, 1.508691110674441e-07, 8.665607371380585e-09, -2.016150035263043e-05, -1.3454335820172082e-06, -4.855053776369225e-06, 9.219405628220192e-08, -4.366875573406291e-06, -9.237260631617087e-07]"
21,21,4.006453480087657e-08,4.006453480087657e-08,100000,False,"[-3.686715394812918e-07, -2.988285683099117e-08, -1.8745219853656618e-07, -2.4223114298529587e-06, -9.133360263839489e-10, 8.815087580704099e-06, 6.420691686905441e-06, 1.462183640518509e-06, -1.0502729440213868e-06, 8.586885375081359e-06]"
